EntryTime,Type,TakeProfitDate,ExitDate,return,slug
2021-03-08 12:00:00,long,2021-04-03 12:00:00,2021-03-11 00:00:00,-0.1063753939105657,AAVE
2021-03-15 00:00:00,short,2021-03-31 12:00:00,2021-03-31 12:00:00,-0.0054126598415603,AAVE
2021-04-02 00:00:00,long,2021-04-07 00:00:00,2021-04-07 00:00:00,-0.0890100606721934,AAVE
2021-04-07 00:00:00,short,2021-04-18 12:00:00,2021-04-12 12:00:00,-0.1054732933379655,AAVE
2021-04-12 12:00:00,long,2021-04-18 00:00:00,2021-04-18 00:00:00,-0.1411184865832924,AAVE
2021-04-18 00:00:00,short,2021-07-04 00:00:00,2021-04-19 00:00:00,-0.0969663004963078,AAVE
2021-04-18 12:00:00,long,2021-05-19 12:00:00,2021-04-19 12:00:00,-0.079289734153259,AAVE
2021-05-20 00:00:00,long,2021-07-08 00:00:00,2021-05-21 12:00:00,-0.1502113691038749,AAVE
2021-05-21 12:00:00,short,2021-07-04 00:00:00,2021-07-04 00:00:00,0.3735258945819153,AAVE
2021-07-05 12:00:00,long,2021-07-27 12:00:00,2021-07-19 12:00:00,-0.2421619297904095,AAVE
2021-07-18 12:00:00,short,2021-07-21 12:00:00,2021-07-21 12:00:00,-0.0198404265595115,AAVE
2021-07-24 00:00:00,long,2021-08-24 12:00:00,2021-08-24 12:00:00,0.2763970891116298,AAVE
2021-08-25 12:00:00,long,2021-09-16 00:00:00,2021-09-10 12:00:00,-0.2014215431070387,AAVE
2021-09-07 12:00:00,short,2021-09-14 12:00:00,2021-09-14 12:00:00,-0.0887227135929348,AAVE
2021-09-15 12:00:00,long,2021-11-06 00:00:00,2021-09-17 00:00:00,-0.1121165259348613,AAVE
2021-09-17 00:00:00,short,2021-10-08 00:00:00,2021-10-07 12:00:00,0.1557973913739299,AAVE
2021-10-08 12:00:00,short,2021-12-22 00:00:00,2021-10-27 00:00:00,-0.1305185168401852,AAVE
2021-11-06 12:00:00,long,2022-03-18 00:00:00,2021-11-16 00:00:00,-0.0899010056568195,AAVE
2021-12-23 12:00:00,long,2022-03-18 00:00:00,2022-01-10 12:00:00,-0.2160247063588497,AAVE
2022-01-07 00:00:00,short,2022-02-07 00:00:00,2022-01-15 00:00:00,-0.0810214716630268,AAVE
2022-02-11 12:00:00,short,2022-03-16 12:00:00,2022-03-16 12:00:00,0.2107308048103606,AAVE
2022-03-17 12:00:00,long,2022-04-11 00:00:00,2022-04-11 00:00:00,0.0411311053984575,AAVE
2022-04-14 00:00:00,short,2022-05-26 12:00:00,2022-05-26 00:00:00,0.6382220109341574,AAVE
2022-05-25 00:00:00,short,2022-07-07 12:00:00,2022-07-07 12:00:00,0.5236629472874184,AAVE
2022-07-13 12:00:00,long,2022-08-02 00:00:00,2022-08-02 00:00:00,0.1113550815558344,AAVE
2022-09-06 12:00:00,short,2022-10-06 00:00:00,2022-10-06 00:00:00,0.0535601764335222,AAVE
2022-11-08 12:00:00,short,2023-01-04 12:00:00,2022-12-04 12:00:00,0.1909278350515464,AAVE
2022-12-16 00:00:00,short,2023-01-04 12:00:00,2023-01-04 12:00:00,0.0242825607064016,AAVE
2023-01-05 00:00:00,short,2023-03-01 12:00:00,2023-01-09 00:00:00,-0.1025672065790216,AAVE
2023-01-09 00:00:00,long,2023-02-09 00:00:00,2023-02-09 00:00:00,0.3466828478964401,AAVE
2023-02-15 12:00:00,long,2023-02-24 00:00:00,2023-02-24 00:00:00,-0.0463687150837989,AAVE
2023-02-24 12:00:00,short,2023-03-17 12:00:00,2023-03-17 12:00:00,0.012721067328576,AAVE
2023-03-18 12:00:00,short,2023-04-04 00:00:00,2023-04-04 00:00:00,0.0387182910547394,AAVE
2023-04-04 00:00:00,long,2023-05-29 00:00:00,2023-04-19 00:00:00,-0.0389814814814812,AAVE
2023-05-28 12:00:00,long,2023-06-28 12:00:00,2023-06-01 00:00:00,-0.0893949275362318,AAVE
2023-05-31 00:00:00,short,2023-06-23 12:00:00,2023-06-23 12:00:00,0.1350637923449185,AAVE
2023-06-25 00:00:00,long,2023-07-19 12:00:00,2023-07-18 12:00:00,-0.0503798480607756,AAVE
2023-07-20 00:00:00,long,2023-09-17 12:00:00,2023-08-01 00:00:00,-0.1542958311063603,AAVE
2023-07-30 12:00:00,short,2023-09-16 00:00:00,2023-09-08 00:00:00,0.2416330821797792,AAVE
2023-09-17 00:00:00,long,2023-11-17 00:00:00,2023-10-14 00:00:00,0.0699622269666613,AAVE
2023-10-13 00:00:00,long,2023-11-17 00:00:00,2023-11-17 00:00:00,0.4111443412560995,AAVE
2023-11-24 12:00:00,long,2023-12-07 00:00:00,2023-12-07 00:00:00,-0.0470908540889382,AAVE
2023-12-11 00:00:00,short,2024-01-10 12:00:00,2023-12-14 12:00:00,-0.0783219860791574,AAVE
2023-12-14 00:00:00,long,2023-12-18 00:00:00,2023-12-14 12:00:00,-0.0565420417348608,AAVE
2023-12-19 00:00:00,long,2024-01-03 12:00:00,2024-01-03 12:00:00,-0.0010668218407525,AAVE
2024-01-04 12:00:00,long,2024-01-11 12:00:00,2024-01-05 12:00:00,-0.0432268478365616,AAVE
2024-01-06 00:00:00,short,2024-01-10 12:00:00,2024-01-10 12:00:00,-0.0586294655481195,AAVE
2024-01-11 00:00:00,long,2024-03-19 12:00:00,2024-01-12 12:00:00,-0.0966437650291995,AAVE
2024-01-12 12:00:00,short,2024-02-14 00:00:00,2024-02-13 12:00:00,0.133237979975795,AAVE
2024-03-20 00:00:00,long,2024-04-10 12:00:00,2024-04-10 00:00:00,0.0937444778229368,AAVE
2024-04-08 00:00:00,long,2024-04-10 12:00:00,2024-04-10 12:00:00,-0.0209585574185384,AAVE
2024-04-11 00:00:00,short,2024-05-09 12:00:00,2024-05-09 12:00:00,0.3202444487459559,AAVE
2024-05-10 12:00:00,short,2024-06-26 12:00:00,2024-05-24 00:00:00,-0.2025067338480477,AAVE
2024-05-20 12:00:00,long,2024-06-07 12:00:00,2024-06-07 12:00:00,-0.0099969397123329,AAVE
2024-06-08 00:00:00,short,2024-06-26 12:00:00,2024-06-25 12:00:00,0.0192962542565267,AAVE
2024-07-03 12:00:00,short,2024-08-05 12:00:00,2024-07-12 12:00:00,-0.1366026384488968,AAVE
2024-07-10 12:00:00,long,2024-08-05 00:00:00,2024-07-25 12:00:00,-0.0432539246898671,AAVE
2024-08-05 00:00:00,short,2024-10-06 12:00:00,2024-08-06 00:00:00,-0.1863172129409056,AAVE
2024-08-06 00:00:00,long,2024-09-03 12:00:00,2024-09-03 12:00:00,0.2385157207023274,AAVE
2024-09-04 00:00:00,long,2024-10-19 00:00:00,2024-10-19 00:00:00,0.2107975082673228,AAVE
2024-10-18 12:00:00,long,2024-10-19 00:00:00,2024-10-19 00:00:00,-0.009811320754717,AAVE
2024-10-23 00:00:00,short,2024-10-23 12:00:00,2024-10-23 12:00:00,-0.0049937996447364,AAVE
2021-04-03 12:00:00,short,2021-04-05 12:00:00,2021-04-05 12:00:00,-0.0448514231128733,ADA
2021-04-06 00:00:00,short,2021-04-18 12:00:00,2021-04-06 12:00:00,-0.0559479269312458,ADA
2021-04-06 12:00:00,long,2021-04-18 00:00:00,2021-04-18 00:00:00,-0.0771248003194889,ADA
2021-04-18 00:00:00,short,2021-04-26 12:00:00,2021-04-18 12:00:00,-0.1035377907839055,ADA
2021-04-18 12:00:00,long,2021-04-21 00:00:00,2021-04-20 00:00:00,-0.1025849694188405,ADA
2021-04-21 00:00:00,short,2021-04-26 12:00:00,2021-04-26 12:00:00,-0.0188464334760481,ADA
2021-04-28 00:00:00,short,2021-05-05 00:00:00,2021-04-29 00:00:00,-0.078966969978535,ADA
2021-04-29 00:00:00,long,2021-05-04 00:00:00,2021-05-04 00:00:00,-0.0538486439824472,ADA
2021-05-04 12:00:00,short,2021-05-23 12:00:00,2021-05-05 00:00:00,-0.062672327984077,ADA
2021-05-05 00:00:00,long,2021-05-19 00:00:00,2021-05-19 00:00:00,0.0434493951018,ADA
2021-05-23 00:00:00,short,2021-06-02 00:00:00,2021-05-25 00:00:00,-0.2236569507682875,ADA
2021-05-26 00:00:00,long,2021-06-02 12:00:00,2021-05-29 12:00:00,-0.2412679034622759,ADA
2021-06-02 00:00:00,long,2021-07-26 12:00:00,2021-06-04 00:00:00,-0.037522810218978,ADA
2021-06-07 12:00:00,short,2021-07-04 00:00:00,2021-07-04 00:00:00,0.1061349909935367,ADA
2021-07-13 12:00:00,short,2021-07-26 00:00:00,2021-07-26 00:00:00,0.0054445018479512,ADA
2021-07-30 12:00:00,long,2021-08-01 12:00:00,2021-08-01 12:00:00,-0.0040051876716509,ADA
2021-08-01 00:00:00,long,2021-09-07 12:00:00,2021-09-07 12:00:00,0.8633374963267706,ADA
2021-09-09 00:00:00,long,2021-11-10 12:00:00,2021-09-20 00:00:00,-0.2066839258114374,ADA
2021-09-18 12:00:00,short,2021-10-05 12:00:00,2021-10-03 12:00:00,0.0281873373807457,ADA
2021-10-10 00:00:00,short,2021-10-26 00:00:00,2021-10-26 00:00:00,0.0308759241033622,ADA
2021-11-12 00:00:00,short,2021-12-23 12:00:00,2021-12-23 12:00:00,0.4291799787007453,ADA
2021-12-24 12:00:00,short,2022-01-16 00:00:00,2022-01-16 00:00:00,0.0103429504627108,ADA
2022-01-16 00:00:00,long,2022-01-19 00:00:00,2022-01-19 00:00:00,-0.0014388489208633,ADA
2022-01-19 12:00:00,short,2022-02-07 00:00:00,2022-02-07 00:00:00,0.1249474127050904,ADA
2022-02-10 12:00:00,short,2022-03-19 12:00:00,2022-03-19 12:00:00,0.2961397576782192,ADA
2022-03-22 00:00:00,long,2022-04-08 12:00:00,2022-04-08 12:00:00,0.0740062761506277,ADA
2022-04-09 00:00:00,long,2022-07-20 12:00:00,2022-04-11 12:00:00,-0.0813969171483622,ADA
2022-04-11 00:00:00,short,2022-05-31 00:00:00,2022-05-31 00:00:00,0.6218724948314418,ADA
2022-06-01 12:00:00,short,2022-07-18 00:00:00,2022-07-08 00:00:00,0.1387283236994219,ADA
2022-07-21 12:00:00,long,2022-08-19 00:00:00,2022-07-26 12:00:00,-0.0777423392749849,ADA
2022-08-19 00:00:00,short,2022-09-04 00:00:00,2022-09-04 00:00:00,-0.0736443758402629,ADA
2022-09-05 00:00:00,short,2022-10-25 12:00:00,2022-10-25 12:00:00,0.2015058939702525,ADA
2022-10-27 12:00:00,short,2022-12-05 00:00:00,2022-10-29 12:00:00,-0.0929948799981316,ADA
2022-10-29 12:00:00,long,2023-02-09 12:00:00,2022-11-08 12:00:00,-0.1172422619047619,ADA
